"Steps","Parameter","AddorRem","RMSE","R2","R2Adj","R2Pred","R","MSE","MAE","CoefVar","FormulaSig","nSample","nDesc"
33,"SECFP1386_RDKit","+","0.085","0.967","0.959","0.951","0.983","0.007","0.058","2.400","0.0000",173,"33"
34,"AATSC7e","+","0.082","0.969","0.962","0.955","0.985","0.007","0.057","2.314","0.0000",173,"34"
35,"MHFP260_RDKit","+","0.079","0.972","0.965","0.957","0.986","0.006","0.054","2.223","0.0000",173,"35"
36,"MHFP1543_RDKit","+","0.075","0.975","0.968","0.960","0.987","0.006","0.052","2.114","0.0000",173,"36"
37,"MHFP154_RDKit","+","0.072","0.977","0.970","0.962","0.988","0.005","0.049","2.038","0.0000",173,"37"
38,"MHFP1625_RDKit","+","0.069","0.979","0.972","0.965","0.989","0.005","0.048","1.961","0.0000",173,"38"
39,"MHFP1358_RDKit","+","0.067","0.980","0.974","0.967","0.990","0.005","0.047","1.901","0.0000",173,"39"
40,"MHFP672_RDKit","+","0.064","0.982","0.977","0.970","0.991","0.004","0.044","1.803","0.0000",173,"40"
41,"RDKFP535_RDKit","+","0.062","0.984","0.978","0.972","0.992","0.004","0.041","1.739","0.0000",173,"41"
42,"FCFPs10_3_RDKit","+","0.059","0.985","0.980","0.974","0.993","0.003","0.040","1.662","0.0000",173,"42"
43,"RDKFP520_RDKit","+","0.056","0.987","0.982","0.978","0.993","0.003","0.037","1.575","0.0000",173,"43"
44,"MHFP662_RDKit","+","0.054","0.988","0.984","0.979","0.994","0.003","0.036","1.514","0.0000",173,"44"
45,"MHFP724_RDKit","+","0.051","0.989","0.985","0.981","0.994","0.003","0.034","1.451","0.0000",173,"45"
46,"MHFP222_RDKit","+","0.049","0.990","0.986","0.982","0.995","0.002","0.032","1.395","0.0000",173,"46"
47,"ExtFP738","+","0.048","0.991","0.987","0.983","0.995","0.002","0.031","1.346","0.0000",173,"47"
48,"MHFP1584_RDKit","+","0.046","0.991","0.988","0.984","0.996","0.002","0.030","1.303","0.0000",173,"48"
49,"MHFP1111_RDKit","+","0.044","0.992","0.989","0.985","0.996","0.002","0.028","1.251","0.0000",173,"49"
50,"FP2_439_open.1","+","0.043","0.993","0.990","0.986","0.996","0.002","0.027","1.202","0.0000",173,"50"
51,"RDKFP1907_RDKit","+","0.041","0.993","0.990","0.986","0.997","0.002","0.026","1.157","0.0000",173,"51"
52,"MHFP109_RDKit","+","0.040","0.994","0.991","0.987","0.997","0.002","0.026","1.119","0.0000",173,"52"
53,"GraphFP874","+","0.038","0.994","0.992","0.987","0.997","0.001","0.025","1.079","0.0000",173,"53"
54,"RDKFP1660_RDKit","+","0.037","0.995","0.992","0.988","0.997","0.001","0.023","1.036","0.0000",173,"54"
55,"MACCSFP91","+","0.035","0.995","0.993","0.989","0.998","0.001","0.022","1.000","0.0000",173,"55"
56,"MHFP1100_RDKit","+","0.034","0.996","0.993","0.990","0.998","0.001","0.021","0.959","0.0000",173,"56"
57,"MHFP1635_RDKit","+","0.032","0.996","0.994","0.991","0.998","0.001","0.020","0.897","0.0000",173,"57"
58,"MHFP265_RDKit","+","0.030","0.997","0.995","0.992","0.998","0.001","0.019","0.858","0.0000",173,"58"
59,"MHFP47_RDKit","+","0.029","0.997","0.995","0.993","0.998","0.001","0.018","0.822","0.0000",173,"59"
60,"MHFP1500_RDKit","+","0.028","0.997","0.996","0.993","0.999","0.001","0.018","0.790","0.0000",173,"60"
61,"RDKFP1901_RDKit","+","0.027","0.997","0.996","0.994","0.999","0.001","0.017","0.764","0.0000",173,"61"
62,"RDKFP584_RDKit","+","0.026","0.998","0.996","0.994","0.999","0.001","0.016","0.732","0.0000",173,"62"
63,"RDKFP744_RDKit","+","0.025","0.998","0.996","0.995","0.999","0.001","0.015","0.704","0.0000",173,"63"
64,"ExtFP533","+","0.024","0.998","0.997","0.995","0.999","0.001","0.015","0.674","0.0000",173,"64"
65,"MHFP94_RDKit","+","0.023","0.998","0.997","0.995","0.999","0.001","0.015","0.651","0.0000",173,"65"
66,"RDKFP50_RDKit","+","0.022","0.998","0.997","0.996","0.999","0.000","0.014","0.625","0.0000",173,"66"
